Date,Close,Volumne,Turnover,future,target,pct_Close,pct_Volumne,pct_Turnover
2004-06-01,2280.78,2.236558E7,465.33,2426.59,0,-0.043064201475582244,-0.49694289171128136,-0.3871876273328326
2004-06-02,2379.0,3.3479996E7,645.5,2448.78,0,0.0026901649196090795,-0.6351832300099438,-0.44898529407315063
2004-06-03,2372.6,5.4745928E7,935.32,2448.33,0,-0.022755621685975856,0.46807718740286947,0.3791002163037579
2004-06-04,2426.59,2.9120608E7,580.74,2453.07,1,-0.009144495198008152,-0.08958480537219553,-0.030564452764543486
2004-06-07,2448.78,3.1729372E7,598.49,2420.74,1,1.837450348711786E-4,0.3402357285861189,0.297515414566689
2004-06-08,2448.33,2.0933906E7,420.43,2335.81,1,-0.0019360094771228794,-0.36369906313709444,-0.3034750828394421
2004-06-09,2453.07,2.8547548E7,548.02,2245.7,1,0.013179435248102191,0.2812085997718613,0.23537465084265533
2004-06-10,2420.74,2.0519732E7,419.03,2289.49,1,0.035084284963789986,0.05158527411566584,0.12388135411147587
2004-06-11,2335.81,1.9461216E7,367.12,2290.27,1,0.03857766905761372,-0.3015038731392735,-0.2935824804227639
2004-06-14,2245.7,2.5328848E7,474.9,2338.46,0,-0.019499505728558714,-0.4071994115168601,-0.23792382018135372
2004-06-15,2289.49,3.564274E7,587.89,2308.43,1,-3.407000249846685E-4,0.2175503903459723,0.14807194567270107
2004-06-16,2290.27,2.7888648E7,500.84,2256.24,1,-0.021041161520383978,-0.07639158413129242,-0.15374177597755237
2004-06-17,2338.46,3.0019106E7,577.84,2240.81,1,0.01284179750712337,-0.2113521302066757,-0.19344448820897886
2004-06-18,2308.43,3.6363708E7,689.62,2200.95,1,0.02260841478916281,0.12605843166488961,0.08759892922516806
2004-06-21,2256.24,3.1779756E7,629.21,2251.58,1,0.0068387812056385725,-0.07633551371508328,-0.10511586164175166
2004-06-22,2240.81,3.420568E7,695.35,2225.37,1,0.017788257986886106,0.11755801960376172,0.04902562309229471
2004-06-23,2200.95,3.0184528E7,661.26,2278.16,0,-0.023003761137852075,-0.218465301163563,-0.11322323142408716
2004-06-24,2251.58,3.67788E7,736.13,2266.1,1,0.011640696767634535,0.2693919323088301,0.24190021618880544
2004-06-25,2225.37,2.6870888E7,558.06,2256.12,1,-0.02372180452777562,-0.0557766457141275,-0.005967130961566751
2004-06-28,2278.16,2.8369656E7,561.39,2306.71,1,0.00529366458825916,-0.311607162244054,-0.18340183874124874
2004-06-29,2266.1,3.7209844E7,664.35,2285.93,1,0.004404033378345446,0.2307874228120924,0.06781062609844452
2004-06-30,2256.12,2.862228E7,619.3,2214.08,1,-0.022423382232443265,-0.1287340491393418,-6.465212867626442E-5
2004-07-01,2306.71,3.2306942E7,619.34,2253.38,1,0.009008514138652056,-0.013824582964243413,-0.04475727306672821
2004-07-02,2285.93,3.2753572E7,647.06,2255.91,1,0.03143134551987687,0.3632612039993684,0.2821376661320533
2004-07-05,2214.08,2.085547E7,464.5,2162.17,1,-0.017749947292232154,-0.06007584580927689,-0.03944027411026642
2004-07-06,2253.38,2.210838E7,482.82,2202.2,1,-0.0011227708724004437,0.07179359138932839,0.04738827002968072
2004-07-07,2255.91,2.052114E7,459.94,2221.18,1,0.04155307343222939,-0.49226699881195685,-0.4420141468753156
2004-07-08,2162.17,3.062302E7,663.24,2203.73,1,-0.018513822106156017,0.4731254788064665,0.47858993363471153
2004-07-09,2202.2,1.6134489E7,345.82,2207.43,1,-0.008618645395323902,0.15345233431315983,0.1879590498622023
2004-07-12,2221.18,1.3658614E7,280.82,2218.92,1,0.007856162809370416,0.27751732350002717,0.15711134970891913
2004-07-13,2203.73,9868112.0,236.7,2267.65,0,-0.0016789494196961427,-0.5135360239121729,-0.25745677433836517
2004-07-14,2207.43,1.4935743E7,297.64,2292.83,0,-0.005205143805328086,-0.05278666083100118,-0.10250630878406672
2004-07-15,2218.92,1.5724151E7,328.15,2301.55,0,-0.021961126216566162,-0.18891391974040442,-0.0736248792060947
2004-07-16,2267.65,1.8694662E7,352.31,2326.2,0,-0.011104084345306037,-0.08548568570001426,0.080383774291017
2004-07-19,2292.83,2.0292788E7,323.99,2393.88,0,-0.0038031473794411757,-0.03024296119389805,-0.1546653210887501
2004-07-20,2301.55,2.0906502E7,374.1,2399.15,0,-0.010710130920811797,0.27125805168172085,0.1882384717423628
2004-07-21,2326.2,1.5235445E7,303.68,2410.28,0,-0.02909463204421861,-1.3075359466034633,-1.0668466421317446
2004-07-22,2393.88,3.5156336E7,627.66,2329.94,1,-0.002201455289836183,0.4471405666392539,0.35764584340805017
2004-07-23,2399.15,1.9436512E7,403.18,2290.42,1,-0.004639196134535772,-0.7193352387506565,-0.8844189284377237
2004-07-26,2410.28,3.341788E7,759.76,2341.76,1,0.03333226302093278,0.12130847318860442,0.07194381578012948
2004-07-27,2329.94,2.9364008E7,705.1,2332.29,1,0.01696181898465479,0.14767411860124816,0.17079846382876984
2004-07-28,2290.42,2.5027704E7,584.67,2348.31,0,-0.022415142044606654,0.08937631674084047,0.2147878123436396
2004-07-29,2341.76,2.279082E7,459.09,2333.67,1,0.004043954403368944,0.147739221318057,0.145962687708633
2004-07-30,2332.29,1.9423722E7,392.08,2316.9,1,-0.006868793873376698,0.37662462426099386,0.3547489947015324
2004-08-02,2348.31,1.210827E7,252.99,2382.3,1,0.006234328667619396,-0.5356443158271165,-0.5539349236997234
2004-08-03,2333.67,1.8593996E7,393.13,2346.82,1,0.00718611461460498,0.41619821796240036,0.4129677309975622
2004-08-04,2316.9,1.0855208E7,230.78,2386.98,0,-0.02822743719666825,-0.9445112428983397,-0.5194991562639386
2004-08-05,2382.3,2.1108074E7,350.67,2387.65,1,0.014893161961778461,-0.2879003550963484,-0.46000510845457937
2004-08-06,2346.82,2.7185096E7,511.98,2352.92,1,-0.01711248026673394,0.2563248627115387,0.07254192322252456
2004-08-09,2386.98,2.021688E7,474.84,2332.47,1,-2.8065667935281224E-4,0.040409895097562036,0.12004043559851993
